7zip	23.01+dfsg-11ubuntu0.1~esm1
curl	8.5.0-2ubuntu10.6
dash	0.5.12-6ubuntu5
dbus	1.14.10-4ubuntu4.1
dbus-bin	1.14.10-4ubuntu4.1
dbus-daemon	1.14.10-4ubuntu4.1
dbus-session-bus-common	1.14.10-4ubuntu4.1
dbus-system-bus-common	1.14.10-4ubuntu4.1
dbus-user-session	1.14.10-4ubuntu4.1
dc	1.07.1-3ubuntu4
dconf-cli	0.40.0-4ubuntu0.1
dconf-gsettings-backend:amd64	0.40.0-4ubuntu0.1
dconf-service	0.40.0-4ubuntu0.1
debconf	1.5.86ubuntu1
debconf-i18n	1.5.86ubuntu1
debianutils	5.17build1
debootstrap	1.0.134ubuntu1
default-jdk	2:1.21-75+exp1
default-jdk-headless	2:1.21-75+exp1
default-jre	2:1.21-75+exp1
default-jre-headless	2:1.21-75+exp1
deltarpm	3.6.3+dfsg-2build5
desktop-file-utils	0.27-2build1
dhcpcd-base	1:10.0.6-1ubuntu3.1
dialog	1.3-20240101-1
dictionaries-common	1.29.7
diffutils	1:3.10-1build1
dirmngr	2.4.4-2ubuntu17.3
distro-info	1.7build1
distro-info-data	0.60ubuntu0.5
dmeventd	2:1.02.185-3ubuntu3.2
dmidecode	3.5-3ubuntu0.1
dmsetup	2:1.02.185-3ubuntu3.2
dmz-cursor-theme	0.4.5ubuntu1
dnf	4.14.0-4.1ubuntu1
dnf-data	4.14.0-4.1ubuntu1
dns-root-data	2024071801~ubuntu0.24.04.1
dnsmasq-base	2.90-2ubuntu0.1
dnsrecon	1.1.5-1
docbook-xml	4.5-12
docker-buildx-plugin	0.29.1-1~ubuntu.24.04~noble
docker-ce	5:28.5.1-1~ubuntu.24.04~noble
docker-ce-cli	5:28.5.1-1~ubuntu.24.04~noble
docker-ce-rootless-extras	5:28.5.1-1~ubuntu.24.04~noble
docker-compose-plugin	2.40.2-1~ubuntu.24.04~noble
dosfstools	4.2-1.1build1
doxygen	1.9.8+ds-2build5
dpkg	1.22.6ubuntu6.5
dpkg-dev	1.22.6ubuntu6.5
dracut-install	060+5-1ubuntu3.3
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
e2fsprogs-l10n	1.47.0-2.4~exp1ubuntu4.1
eatmydata	131-1ubuntu1
ed	1.20.1-1
efibootmgr	18-1build2
eject	2.39.3-9ubuntu6.3
emacsen-common	3.0.5
enchant-2	2.3.3-2build2
eog	45.3-1ubuntu2
eslint	6.4.0~dfsg+~6.1.9-11build3
espeak-ng-data:amd64	1.51+dfsg-12build1
ethtool	1:6.7-1build1
evince	46.3.1-0ubuntu1
evince-common	46.3.1-0ubuntu1
evolution-data-server	3.52.3-0ubuntu1
evolution-data-server-common	3.52.3-0ubuntu1
exo-utils	4.18.0-1build4
fakechroot	2.20.1+ds-15
fakeroot	1.33-1
fastfetch	2.52.0
fdisk	2.39.3-9ubuntu6.3
ffmpeg	7:6.1.1-3ubuntu5+esm6
ffmpegthumbnailer	2.2.2+git20240104+dfsg-1build1
ffuf	2.1.0-1ubuntu0.24.04.3+esm1
file	1:5.45-3build1
findutils	4.9.0-5build1
firefox	1:1snap1-0ubuntu5
firmware-sof-signed	2023.12.1-1ubuntu1.10
flatpak	1.16.1-1~flatpak1~24.04.1
flex	2.6.4-8.2build1
fontconfig	2.15.0-1.1ubuntu2
fontconfig-config	2.15.0-1.1ubuntu2
fonts-dejavu-core	2.37-8
fonts-dejavu-extra	2.37-8
fonts-dejavu-mono	2.37-8
fonts-droid-fallback	1:6.0.1r16-1.1build1
fonts-firacode	6.2-2
fonts-font-awesome	5.0.10+really4.7.0~dfsg-4.1
fonts-lato	2.015-1
fonts-liberation	1:2.1.5-3
fonts-liberation-sans-narrow	1:1.07.6-4
fonts-noto-cjk	1:20230817+repack1-3
fonts-noto-color-emoji	2.047-0ubuntu0.24.04.1
fonts-noto-core	20201225-2
fonts-noto-mono	20201225-2
fonts-tuffy	20120614-3
fonts-ubuntu	0.869+git20240321-0ubuntu1
fonts-urw-base35	20200910-8
foomatic-db-compressed-ppds	20230202-1
fprintd	1.94.3-1
freerdp3-x11	3.5.1+dfsg1-0ubuntu1.1
friendly-recovery	0.2.42
ftp	20230507-2build3
fuse3	3.14.0-5build1
fwupd	1.9.31-0ubuntu1~24.04.1
fwupd-signed	1.52+1.4-1
g++	4:13.2.0-7ubuntu1
g++-13	13.3.0-6ubuntu2~24.04
g++-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04
g++-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gamemode	1.8.1-2build1
gamemode-daemon	1.8.1-2build1
gawk	1:5.2.1-2build3
gcc	4:13.2.0-7ubuntu1
gcc-12-base:amd64	12.4.0-2ubuntu1~24.04
gcc-13	13.3.0-6ubuntu2~24.04
gcc-13-base:amd64	13.3.0-6ubuntu2~24.04
gcc-13-multilib	13.3.0-6ubuntu2~24.04
gcc-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04
gcc-14-base:amd64	14.2.0-4ubuntu2~24.04
gcc-14-base:i386	14.2.0-4ubuntu2~24.04
gcc-multilib	4:13.2.0-7ubuntu1
gcc-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gcr	3.41.2-1build3
gcr4	4.2.0-5
gdb	15.0.50.20240403-0ubuntu1
gdisk	1.0.10-1build1
gdm3	46.2-1ubuntu1~24.04.3
genisoimage	9:1.1.11-3.5
geoclue-2.0	2.7.0-3ubuntu7
geocode-glib-common	3.26.3-6build3
gettext	0.21-14ubuntu2
gettext-base	0.21-14ubuntu2
ghex	46.0-1build1
ghostscript	10.02.1~dfsg1-0ubuntu7.8
ghostty	1.1.3-0~ppa2
gir1.2-accountsservice-1.0:amd64	23.13.9-2ubuntu6
gir1.2-adw-1:amd64	1.5.0-1ubuntu2
gir1.2-atk-1.0:amd64	2.52.0-1build1
gir1.2-atspi-2.0:amd64	2.52.0-1build1
gir1.2-ayatanaappindicator3-0.1	0.5.93-1build3
gir1.2-dbusmenu-glib-0.4:amd64	18.10.20180917~bzr492+repack1-3.1ubuntu5
gir1.2-dbusmenu-gtk3-0.4:amd64	18.10.20180917~bzr492+repack1-3.1ubuntu5
gir1.2-freedesktop:amd64	1.80.1-1
gir1.2-freedesktop-dev:amd64	1.80.1-1
gir1.2-gck-2:amd64	4.2.0-5
gir1.2-gcr-4:amd64	4.2.0-5
gir1.2-gdesktopenums-3.0:amd64	46.1-0ubuntu1
gir1.2-gdkpixbuf-2.0:amd64	2.42.10+dfsg-3ubuntu3.2
gir1.2-gdm-1.0	46.2-1ubuntu1~24.04.3
gir1.2-geoclue-2.0:amd64	2.7.0-3ubuntu7
gir1.2-girepository-2.0:amd64	1.80.1-1
gir1.2-girepository-2.0-dev:amd64	1.80.1-1
gir1.2-glib-2.0:amd64	2.80.0-6ubuntu3.4
gir1.2-glib-2.0-dev:amd64	2.80.0-6ubuntu3.4
gir1.2-gmenu-3.0:amd64	3.36.0-1.1ubuntu3
gir1.2-gnomeautoar-0.1:amd64	0.4.4-2build4
gir1.2-gnomebg-4.0:amd64	44.0-5build2
gir1.2-gnomebluetooth-3.0:amd64	46.0-1ubuntu1
gir1.2-gnomedesktop-3.0:amd64	44.0-5build2
gir1.2-gnomedesktop-4.0:amd64	44.0-5build2
gir1.2-goocanvas-2.0:amd64	2.0.4-1build3
gir1.2-graphene-1.0:amd64	1.10.8-3build2
gir1.2-gst-plugins-base-1.0:amd64	1.24.2-1ubuntu0.3
gir1.2-gstreamer-1.0:amd64	1.24.2-1ubuntu0.1
gir1.2-gtk-3.0:amd64	3.24.41-4ubuntu1.3
gir1.2-gtk-4.0:amd64	4.14.5+ds-0ubuntu0.5
gir1.2-gtklayershell-0.1	0.8.2-1build2
gir1.2-gudev-1.0:amd64	1:238-5ubuntu1
gir1.2-gweather-4.0:amd64	4.4.2-1build1
gir1.2-handy-1:amd64	1.8.3-1build2
gir1.2-harfbuzz-0.0:amd64	8.3.0-2build2
gir1.2-ibus-1.0:amd64	1.5.29-2
gir1.2-javascriptcoregtk-4.1:amd64	2.48.7-0ubuntu0.24.04.2
gir1.2-javascriptcoregtk-6.0:amd64	2.48.7-0ubuntu0.24.04.2
gir1.2-keybinder-3.0	0.3.2-1.1build2
gir1.2-mutter-14:amd64	46.2-1ubuntu0.24.04.10
gir1.2-nm-1.0:amd64	1.46.0-1ubuntu2.3
gir1.2-nma4-1.0:amd64	1.10.6-3build2
gir1.2-notify-0.7:amd64	0.8.3-1build2
gir1.2-packagekitglib-1.0	1.2.8-2ubuntu1.2
gir1.2-pango-1.0:amd64	1.52.1+ds-1build1
gir1.2-peas-1.0:amd64	1.36.0-3build4
gir1.2-polkit-1.0	124-2ubuntu1.24.04.2
gir1.2-rsvg-2.0:amd64	2.58.0+dfsg-1build1
gir1.2-secret-1:amd64	0.21.4-1build3
gir1.2-snapd-2:amd64	1.64-0ubuntu5
gir1.2-soup-3.0:amd64	3.4.4-5ubuntu0.5
gir1.2-upowerglib-1.0:amd64	1.90.3-1
gir1.2-vte-2.91:amd64	0.76.0-1ubuntu0.1
gir1.2-webkit-6.0:amd64	2.48.7-0ubuntu0.24.04.2
gir1.2-webkit2-4.1:amd64	2.48.7-0ubuntu0.24.04.2
gir1.2-wnck-3.0:amd64	43.0-3build4
git	1:2.43.0-1ubuntu7.3
git-lfs	3.4.1-1ubuntu0.3+esm1
git-man	1:2.43.0-1ubuntu7.3
gjs	1.80.2-1build2
gkbd-capplet	3.28.1-1build3
glib-networking:amd64	2.80.0-1build1
glib-networking-common	2.80.0-1build1
glib-networking-services	2.80.0-1build1
glslang-tools	15.1.0-2~ubuntu0.24.04.1
glycin-loaders	1.0.1+dfsg-0ubuntu1
gnome-accessibility-themes	3.28-2ubuntu5
gnome-bluetooth-3-common	46.0-1ubuntu1
gnome-bluetooth-sendto	46.0-1ubuntu1
gnome-calculator	1:46.3-0ubuntu0.1
gnome-characters	46.0-1build1
gnome-clocks	46.0-1build1
gnome-control-center	1:46.7-0ubuntu0.24.04.2
gnome-control-center-data	1:46.7-0ubuntu0.24.04.2
gnome-control-center-faces	1:46.7-0ubuntu0.24.04.2
gnome-desktop3-data	44.0-5build2
gnome-disk-utility	46.0-1ubuntu3
gnome-font-viewer	46.0-1build1
gnome-initial-setup	46.3-1ubuntu3~24.04.2
gnome-keyring	46.1-2build1
gnome-keyring-pkcs11:amd64	46.1-2build1
gnome-logs	45.0-1build1
gnome-menus	3.36.0-1.1ubuntu3
gnome-online-accounts	3.50.4-0ubuntu2
gnome-package-updater	43.0-2build3
gnome-packagekit	43.0-2build3
gnome-packagekit-common	43.0-2build3
gnome-power-manager	43.0-2build2
gnome-remote-desktop	46.3-0ubuntu1
gnome-screenshot	41.0-2build2
gnome-session-bin	46.0-1ubuntu4
gnome-session-canberra	0.30-10ubuntu10
gnome-session-common	46.0-1ubuntu4
gnome-settings-daemon	46.0-1ubuntu1
gnome-settings-daemon-common	46.0-1ubuntu1
gnome-shell	46.0-0ubuntu6~24.04.9
gnome-shell-common	46.0-0ubuntu6~24.04.9
gnome-shell-extension-appindicator	58-1ubuntu24.04.1
gnome-shell-extension-desktop-icons-ng	46+really47.0.9-1ubuntu4
gnome-shell-extension-manager	0.5.0-1build1
gnome-shell-extension-ubuntu-dock	90ubuntu3
gnome-shell-extension-ubuntu-tiling-assistant	46-1ubuntu1.1
gnome-software	46.0-1ubuntu2
gnome-software-common	46.0-1ubuntu2
gnome-software-plugin-flatpak	46.0-1ubuntu2
gnome-software-plugin-snap	46.0-1ubuntu2
gnome-startup-applications	46.0-1ubuntu4
gnome-system-monitor	46.0-1build1
gnome-terminal	3.52.0-1ubuntu2
gnome-terminal-data	3.52.0-1ubuntu2
gnome-text-editor	46.3-0ubuntu2
gnome-themes-extra:amd64	3.28-2ubuntu5
gnome-themes-extra-data	3.28-2ubuntu5
gnome-tweaks	46.0-2
gnome-user-docs	46.0-1ubuntu1
gnome-video-effects	0.6.0-1ubuntu1
gnupg	2.4.4-2ubuntu17.3
gnupg-l10n	2.4.4-2ubuntu17.3
gnupg-utils	2.4.4-2ubuntu17.3
gnuplot-data	6.0.0+dfsg1-1ubuntu3+esm1
gnuplot-x11	6.0.0+dfsg1-1ubuntu3+esm1
gobject-introspection:amd64	1.80.1-1
gobject-introspection-bin	1.80.1-1
golang:amd64	2:1.22~2build1
golang-1.22	1.22.2-2ubuntu0.4
golang-1.22-doc	1.22.2-2ubuntu0.4
golang-1.22-go	1.22.2-2ubuntu0.4
golang-1.22-src	1.22.2-2ubuntu0.4
golang-doc	2:1.22~2build1
golang-go:amd64	2:1.22~2build1
golang-src	2:1.22~2build1
google-chrome-stable	142.0.7444.59-1
gparted	1.5.0-1build4
gparted-common	1.5.0-1build4
gpg	2.4.4-2ubuntu17.3
gpg-agent	2.4.4-2ubuntu17.3
gpg-wks-client	2.4.4-2ubuntu17.3
gpgconf	2.4.4-2ubuntu17.3
gpgsm	2.4.4-2ubuntu17.3
gpgv	2.4.4-2ubuntu17.3
gpustat	1.1.1-1
grep	3.11-4build1
grim	1.4.0+ds-2build2
groff-base	1.23.0-3build2
grub-common	2.12-1ubuntu7.3
grub-efi-amd64	2.12-1ubuntu7.3
grub-efi-amd64-bin	2.12-1ubuntu7.3
grub-efi-amd64-signed	1.202.5+2.12-1ubuntu7.3
grub2-common	2.12-1ubuntu7.3
gsasl-common	2.2.1-1willsync1build2
gsettings-desktop-schemas	46.1-0ubuntu1
gsettings-ubuntu-schemas	0.0.7+21.10.20210712-0ubuntu3
gstreamer1.0-alsa:amd64	1.24.2-1ubuntu0.3
gstreamer1.0-clutter-3.0:amd64	3.0.27-4build1
gstreamer1.0-gl:amd64	1.24.2-1ubuntu0.3
gstreamer1.0-libav:amd64	1.24.1-1build1
gstreamer1.0-packagekit	1.2.8-2ubuntu1.2
gstreamer1.0-pipewire:amd64	1.0.5-1ubuntu3.1
gstreamer1.0-plugins-bad:amd64	1.24.2-1ubuntu4+esm1
gstreamer1.0-plugins-base:amd64	1.24.2-1ubuntu0.3
gstreamer1.0-plugins-base-apps	1.24.2-1ubuntu0.3
gstreamer1.0-plugins-good:amd64	1.24.2-1ubuntu1.2
gstreamer1.0-tools	1.24.2-1ubuntu0.1
gstreamer1.0-x:amd64	1.24.2-1ubuntu0.3
gtk-update-icon-cache	3.24.41-4ubuntu1.3
gtk2-engines-murrine:amd64	0.98.2-4
gtk2-engines-pixbuf:amd64	2.24.33-4ubuntu1.1
gvfs:amd64	1.54.4-0ubuntu1~24.04.1
gvfs-backends	1.54.4-0ubuntu1~24.04.1
gvfs-common	1.54.4-0ubuntu1~24.04.1
gvfs-daemons	1.54.4-0ubuntu1~24.04.1
gvfs-fuse	1.54.4-0ubuntu1~24.04.1
gvfs-libs:amd64	1.54.4-0ubuntu1~24.04.1
gyp	0.1+20220404git9ecf45e-2
gzip	1.12-1ubuntu3.1
handlebars	3:4.7.7+~4.1.0-1
hashcat	6.2.6+ds1-1build2
hashcat-data	6.2.6+ds1-1build2
hdparm	9.65+ds-1build1
heif-gdk-pixbuf:amd64	1.17.6-1ubuntu4.1
heif-thumbnailer	1.17.6-1ubuntu4.1
hicolor-icon-theme	0.17-2
hoppscotch	25.8.1
hostname	3.23+nmu2ubuntu2
hplip	3.23.12+dfsg0-0ubuntu5
hplip-data	3.23.12+dfsg0-0ubuntu5
httpie	3.2.2-1
httptoolkit	1.20.1
humanity-icon-theme	0.6.16
hunspell-en-au	1:2020.12.07-2
hunspell-en-ca	1:2020.12.07-2
hunspell-en-gb	1:24.2.1-1
hunspell-en-us	1:2020.12.07-2
hunspell-en-za	1:24.2.1-1
hwdata	0.379-1
hwinfo	21.82-1.1build1
hwloc	2.10.0-1build1
i965-va-driver:amd64	2.4.1+dfsg1-1build2
ibus	1.5.29-2
ibus-data	1.5.29-2
ibus-gtk:amd64	1.5.29-2
ibus-gtk3:amd64	1.5.29-2
ibus-gtk4:amd64	1.5.29-2
ibus-table	1.17.4-2
ibus-table-cangjie-big	1.8.12-1
ibus-table-cangjie3	1.8.12-1
ibus-table-cangjie5	1.8.12-1
ibverbs-providers:amd64	50.0-2ubuntu0.2
icu-devtools	74.2-1ubuntu3.1
ieee-data	20220827.1
iio-sensor-proxy	3.5-1build2
im-config	0.57-2
imagemagick	8:6.9.12.98+dfsg1-5.2ubuntu0.1~esm3
imagemagick-6-common	8:6.9.12.98+dfsg1-5.2ubuntu0.1~esm3
imagemagick-6.q16	8:6.9.12.98+dfsg1-5.2ubuntu0.1~esm3
inetutils-telnet	2:2.5-3ubuntu4
info	7.1-3build2
init	1.66ubuntu1
init-system-helpers	1.66ubuntu1
initramfs-tools	0.142ubuntu25.5
initramfs-tools-bin	0.142ubuntu25.5
initramfs-tools-core	0.142ubuntu25.5
inputattach	1:1.8.1-2build1
insomnia	11.6.2
install-info	7.1-3build2
intel-gpu-tools	1.28-1ubuntu2
intel-media-va-driver:amd64	24.1.0+dfsg1-1ubuntu0.1
intel-microcode	3.20250512.0ubuntu0.24.04.1
inxi	3.3.34-1-1
ipp-usb	0.9.24-0ubuntu3.3
iproute2	6.1.0-1ubuntu6.2
iptables	1.8.10-3ubuntu2
iputils-ping	3:20240117-1ubuntu0.1
iputils-tracepath	3:20240117-1ubuntu0.1
iso-codes	4.16.0-1
iucode-tool	2.3.1-3build1
iw	6.7-1build1
java-common	0.75+exp1
javascript-common	11+nmu1
jp2a	1.1.1-2ubuntu2
jq	1.7.1-3ubuntu0.24.04.1
kbd	2.6.4-2ubuntu2
kerneloops	0.12+git20140509-6ubuntu8
keyboard-configuration	1.226ubuntu1
keyboxd	2.4.4-2ubuntu17.3
kiro	0.4.0-1760486024
kitty	0.32.2-1ubuntu0.4
kitty-doc	0.32.2-1ubuntu0.4
kitty-shell-integration	0.32.2-1ubuntu0.4
kitty-terminfo	0.32.2-1ubuntu0.4
klibc-utils	2.0.13-4ubuntu0.1
kmod	31+20240202-2ubuntu7.1
krb5-locales	1.20.1-6ubuntu2.6
kwayland-data	4:5.115.0-0ubuntu5
kwayland-integration:amd64	4:5.27.11-0ubuntu3
language-pack-en	1:24.04+20250724
language-pack-en-base	1:24.04+20250724
language-pack-gnome-en	1:24.04+20250724
language-pack-gnome-en-base	1:24.04+20250724
language-selector-common	0.225
language-selector-gnome	0.225
laptop-detect	0.16
ldap-utils	2.6.7+dfsg-1~exp1ubuntu8.2
less	590-2ubuntu2.1
lib32asan8	14.2.0-4ubuntu2~24.04
lib32atomic1	14.2.0-4ubuntu2~24.04
lib32gcc-13-dev	13.3.0-6ubuntu2~24.04
lib32gcc-s1	14.2.0-4ubuntu2~24.04
lib32gomp1	14.2.0-4ubuntu2~24.04
lib32itm1	14.2.0-4ubuntu2~24.04
lib32quadmath0	14.2.0-4ubuntu2~24.04
lib32stdc++6	14.2.0-4ubuntu2~24.04
lib32ubsan1	14.2.0-4ubuntu2~24.04
libaa1:amd64	1.4p5-51.1
libaacs0:amd64	0.11.1-2build1
libabsl20220623t64:amd64	20220623.1-3.1ubuntu3.2
libaccountsservice0:amd64	23.13.9-2ubuntu6
libacl1:amd64	2.3.2-1build1.1
libadwaita-1-0:amd64	1.5.0-1ubuntu2
libaio1t64:amd64	0.3.113-6build1.1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl:amd64	0.04-8build3
libalgorithm-merge-perl	0.08-5
libao-common	1.2.2+20180113-1.1ubuntu4
libao4:amd64	1.2.2+20180113-1.1ubuntu4
libaom3:amd64	3.8.2-2ubuntu0.1
libapksig-java	31.0.2-1ubuntu1
libapparmor1:amd64	4.0.1really4.0.1-0ubuntu0.24.04.4
libappstream5:amd64	1.0.2-1build6
libapt-pkg6.0t64:amd64	2.8.3
libarchive-zip-perl	1.68-1
libarchive13t64:amd64	3.7.2-2ubuntu0.5
libargon2-1:amd64	0~20190702+dfsg-4build1
libasan8:amd64	14.2.0-4ubuntu2~24.04
libasound2-data	1.2.11-1ubuntu0.1
libasound2-dev:amd64	1.2.11-1ubuntu0.1
libasound2-plugins:amd64	1.2.7.1-1ubuntu5
libasound2t64:amd64	1.2.11-1ubuntu0.1
libaspell15:amd64	0.60.8.1-1build1
libass9:amd64	1:0.17.1-2build1
libassuan0:amd64	2.5.6-1build1
libasyncns0:amd64	0.8-6build4
libatasmart4:amd64	0.19-5build3
libatk-adaptor:amd64	2.52.0-1build1
libatk-bridge2.0-0t64:amd64	2.52.0-1build1
libatk-bridge2.0-dev:amd64	2.52.0-1build1
libatk-wrapper-java	0.40.0-3build2
libatk-wrapper-java-jni:amd64	0.40.0-3build2
libatk1.0-0t64:amd64	2.52.0-1build1
libatk1.0-dev:amd64	2.52.0-1build1
libatkmm-1.6-1v5:amd64	2.28.4-1build4
libatm1t64:amd64	1:2.5.1-5.1build1
libatomic1:amd64	14.2.0-4ubuntu2~24.04
libatomic1:i386	14.2.0-4ubuntu2~24.04
libatopology2t64:amd64	1.2.11-1ubuntu0.1
libatspi2.0-0t64:amd64	2.52.0-1build1
libatspi2.0-dev:amd64	2.52.0-1build1
libattr1:amd64	1:2.5.2-1build1.1
libaudit-common	1:3.1.2-2.1build1.1
libaudit1:amd64	1:3.1.2-2.1build1.1
libauthen-sasl-perl	2.1700-1
libavahi-client-dev:amd64	0.8-13ubuntu6
libavahi-client3:amd64	0.8-13ubuntu6
libavahi-common-data:amd64	0.8-13ubuntu6
libavahi-common-dev:amd64	0.8-13ubuntu6
libavahi-common3:amd64	0.8-13ubuntu6
libavahi-compat-libdnssd-dev:amd64	0.8-13ubuntu6
libavahi-compat-libdnssd1:amd64	0.8-13ubuntu6
libavahi-core7:amd64	0.8-13ubuntu6
libavahi-glib1:amd64	0.8-13ubuntu6
libavc1394-0:amd64	0.5.4-5build3
libavcodec-dev:amd64	7:6.1.1-3ubuntu5+esm6
libavcodec60:amd64	7:6.1.1-3ubuntu5+esm6
libavdevice-dev:amd64	7:6.1.1-3ubuntu5+esm6
libavdevice60:amd64	7:6.1.1-3ubuntu5+esm6
libavfilter-dev:amd64	7:6.1.1-3ubuntu5+esm6
libavfilter9:amd64	7:6.1.1-3ubuntu5+esm6
libavformat-dev:amd64	7:6.1.1-3ubuntu5+esm6
libavformat60:amd64	7:6.1.1-3ubuntu5+esm6
libavif16:amd64	1.0.4-1ubuntu3
libavtp0:amd64	0.2.0-1build1
